frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
59.76,2.22,2.22,0.86,0.85,-0.84,-0.67,1.38,1.38,1.36
60.35,2.24,2.24,0.90,0.90,-0.89,-0.68,1.35,1.35,1.35
60.96,2.26,2.26,0.93,0.93,-0.93,-0.69,1.33,1.33,1.34
61.57,2.26,2.26,0.96,0.96,-0.95,-0.69,1.31,1.31,1.31
62.18,2.25,2.25,0.98,0.97,-0.97,-0.70,1.29,1.29,1.27
62.80,2.23,2.23,0.98,0.98,-0.97,-0.71,1.26,1.26,1.25
63.43,2.19,2.19,0.97,0.97,-0.96,-0.73,1.23,1.23,1.22
64.07,2.15,2.15,0.95,0.95,-0.95,-0.74,1.20,1.20,1.20
64.71,2.09,2.09,0.92,0.92,-0.93,-0.75,1.16,1.16,1.17
65.35,2.03,2.03,0.90,0.90,-0.91,-0.77,1.13,1.13,1.13
66.01,1.97,1.97,0.88,0.88,-0.88,-0.78,1.09,1.09,1.10
66.67,1.92,1.92,0.86,0.86,-0.86,-0.80,1.05,1.05,1.06
67.33,1.87,1.87,0.84,0.85,-0.85,-0.82,1.02,1.02,1.02
68.01,1.83,1.83,0.84,0.84,-0.84,-0.84,0.99,0.99,0.98
68.69,1.79,1.79,0.84,0.84,-0.84,-0.87,0.95,0.95,0.95
69.37,1.75,1.75,0.84,0.84,-0.84,-0.89,0.91,0.91,0.91
70.07,1.72,1.72,0.85,0.85,-0.86,-0.92,0.86,0.87,0.87
70.77,1.71,1.71,0.87,0.87,-0.88,-0.95,0.82,0.82,0.84
71.48,1.71,1.71,0.91,0.91,-0.92,-0.98,0.79,0.79,0.80
72.19,1.73,1.73,0.96,0.96,-0.97,-1.01,0.76,0.76,0.76
72.91,1.76,1.76,1.03,1.03,-1.03,-1.05,0.73,0.73,0.73
73.64,1.80,1.80,1.10,1.10,-1.10,-1.09,0.70,0.70,0.70
74.38,1.85,1.85,1.17,1.17,-1.18,-1.13,0.67,0.67,0.67
75.12,1.89,1.89,1.26,1.26,-1.26,-1.17,0.63,0.63,0.64
75.87,1.94,1.94,1.35,1.35,-1.34,-1.22,0.60,0.60,0.59
76.63,1.98,1.98,1.44,1.43,-1.42,-1.27,0.56,0.56,0.54
77.40,2.02,2.02,1.51,1.51,-1.50,-1.33,0.52,0.52,0.51
78.17,2.06,2.06,1.58,1.58,-1.57,-1.39,0.49,0.49,0.48
78.95,2.09,2.09,1.65,1.64,-1.64,-1.45,0.46,0.46,0.45
79.74,2.13,2.13,1.70,1.70,-1.70,-1.52,0.43,0.43,0.42
80.54,2.15,2.15,1.76,1.76,-1.76,-1.60,0.40,0.40,0.40
81.35,2.18,2.18,1.81,1.81,-1.82,-1.67,0.36,0.36,0.37
82.16,2.20,2.20,1.86,1.86,-1.87,-1.75,0.33,0.33,0.34
82.98,2.22,2.22,1.91,1.91,-1.92,-1.83,0.29,0.30,0.31
83.81,2.23,2.23,1.97,1.97,-1.97,-1.92,0.26,0.26,0.26
84.65,2.24,2.24,2.03,2.02,-2.02,-2.01,0.22,0.22,0.21
85.50,2.25,2.25,2.07,2.07,-2.06,-2.09,0.19,0.19,0.18
86.35,2.25,2.26,2.11,2.11,-2.10,-2.17,0.15,0.15,0.15
87.22,2.26,2.26,2.14,2.14,-2.13,-2.25,0.12,0.12,0.12
88.09,2.25,2.25,2.16,2.16,-2.16,-2.32,0.09,0.09,0.09
88.97,2.24,2.24,2.18,2.18,-2.18,-2.38,0.06,0.06,0.06
89.86,2.23,2.23,2.20,2.20,-2.20,-2.43,0.03,0.03,0.03
90.76,2.21,2.21,2.21,2.21,-2.22,-2.47,-0.00,-0.00,0.00
91.66,2.19,2.20,2.22,2.22,-2.23,-2.49,-0.03,-0.03,-0.03
92.58,2.17,2.17,2.23,2.23,-2.24,-2.49,-0.06,-0.06,-0.06
93.51,2.14,2.14,2.24,2.24,-2.24,-2.49,-0.10,-0.10,-0.10
94.44,2.11,2.11,2.25,2.25,-2.25,-2.46,-0.13,-0.13,-0.14
95.39,2.08,2.08,2.25,2.25,-2.25,-2.43,-0.17,-0.17,-0.17
96.34,2.04,2.04,2.25,2.25,-2.26,-2.39,-0.21,-0.21,-0.21
97.30,2.01,2.01,2.25,2.25,-2.26,-2.34,-0.25,-0.25,-0.25
98.28,1.97,1.97,2.25,2.25,-2.26,-2.28,-0.30,-0.30,-0.29
99.26,1.92,1.92,2.25,2.25,-2.26,-2.22,-0.34,-0.34,-0.33
100.25,1.87,1.87,2.26,2.26,-2.26,-2.17,-0.38,-0.38,-0.38
101.25,1.83,1.83,2.25,2.25,-2.25,-2.11,-0.42,-0.42,-0.43
102.27,1.77,1.77,2.24,2.24,-2.23,-2.05,-0.46,-0.46,-0.47
103.29,1.72,1.72,2.22,2.22,-2.21,-2.00,-0.49,-0.49,-0.50
104.32,1.67,1.67,2.19,2.19,-2.18,-1.95,-0.52,-0.52,-0.53
105.37,1.61,1.60,2.16,2.16,-2.15,-1.90,-0.55,-0.55,-0.55
106.42,1.54,1.54,2.12,2.12,-2.12,-1.86,-0.58,-0.58,-0.58
107.48,1.47,1.48,2.08,2.08,-2.09,-1.82,-0.62,-0.62,-0.61
108.56,1.41,1.41,2.05,2.05,-2.07,-1.79,-0.66,-0.65,-0.64
109.64,1.35,1.35,2.03,2.02,-2.04,-1.76,-0.69,-0.69,-0.68
110.74,1.29,1.29,2.01,2.01,-2.02,-1.73,-0.73,-0.73,-0.72
111.85,1.22,1.22,1.99,2.00,-2.00,-1.71,-0.77,-0.77,-0.77
112.97,1.16,1.16,1.98,1.98,-1.97,-1.69,-0.82,-0.82,-0.83
114.10,1.09,1.09,1.97,1.96,-1.95,-1.67,-0.86,-0.86,-0.88
115.24,1.02,1.02,1.94,1.94,-1.92,-1.66,-0.90,-0.90,-0.92
116.39,0.95,0.95,1.90,1.90,-1.89,-1.64,-0.94,-0.94,-0.95
117.55,0.87,0.87,1.85,1.85,-1.85,-1.63,-0.98,-0.98,-0.98
118.73,0.80,0.80,1.80,1.80,-1.81,-1.62,-1.01,-1.01,-1.00
119.92,0.73,0.73,1.76,1.76,-1.77,-1.61,-1.04,-1.04,-1.03
121.12,0.66,0.66,1.72,1.72,-1.74,-1.61,-1.08,-1.08,-1.06
122.33,0.59,0.59,1.69,1.69,-1.70,-1.60,-1.11,-1.11,-1.10
123.55,0.52,0.52,1.66,1.66,-1.66,-1.60,-1.15,-1.15,-1.15
124.79,0.45,0.45,1.64,1.64,-1.63,-1.60,-1.18,-1.18,-1.19
126.03,0.37,0.37,1.61,1.61,-1.60,-1.60,-1.22,-1.22,-1.23
127.29,0.30,0.30,1.57,1.57,-1.56,-1.60,-1.26,-1.26,-1.27
128.57,0.23,0.23,1.53,1.53,-1.53,-1.60,-1.30,-1.30,-1.30
129.85,0.16,0.16,1.49,1.49,-1.49,-1.60,-1.33,-1.33,-1.33
131.15,0.09,0.09,1.45,1.45,-1.45,-1.61,-1.36,-1.36,-1.36
132.46,0.02,0.02,1.41,1.41,-1.41,-1.61,-1.39,-1.39,-1.39
133.79,-0.05,-0.05,1.37,1.37,-1.36,-1.61,-1.41,-1.41,-1.42
135.12,-0.11,-0.11,1.33,1.33,-1.32,-1.62,-1.44,-1.44,-1.45
136.48,-0.18,-0.18,1.29,1.29,-1.29,-1.62,-1.47,-1.46,-1.47
137.84,-0.23,-0.23,1.26,1.26,-1.26,-1.63,-1.49,-1.49,-1.49
139.22,-0.28,-0.28,1.24,1.24,-1.24,-1.63,-1.53,-1.53,-1.52
140.61,-0.33,-0.32,1.22,1.22,-1.24,-1.64,-1.56,-1.56,-1.55
142.02,-0.35,-0.35,1.23,1.23,-1.25,-1.65,-1.60,-1.60,-1.58
143.44,-0.37,-0.37,1.25,1.25,-1.27,-1.65,-1.64,-1.64,-1.62
144.87,-0.37,-0.36,1.30,1.30,-1.31,-1.66,-1.68,-1.67,-1.66
146.32,-0.35,-0.35,1.35,1.35,-1.36,-1.67,-1.71,-1.71,-1.70
147.78,-0.32,-0.32,1.42,1.42,-1.42,-1.67,-1.74,-1.74,-1.74
149.26,-0.29,-0.29,1.49,1.49,-1.48,-1.68,-1.77,-1.77,-1.78
150.75,-0.26,-0.27,1.55,1.55,-1.53,-1.69,-1.80,-1.80,-1.82
152.26,-0.24,-0.24,1.61,1.60,-1.59,-1.70,-1.83,-1.83,-1.85
153.78,-0.22,-0.22,1.65,1.65,-1.64,-1.71,-1.85,-1.85,-1.87
155.32,-0.20,-0.21,1.68,1.68,-1.67,-1.71,-1.88,-1.88,-1.88
156.88,-0.20,-0.20,1.70,1.70,-1.70,-1.72,-1.90,-1.90,-1.90
158.44,-0.19,-0.19,1.72,1.72,-1.72,-1.73,-1.91,-1.91,-1.91
160.03,-0.19,-0.19,1.74,1.73,-1.73,-1.74,-1.92,-1.93,-1.93
161.63,-0.19,-0.19,1.74,1.74,-1.74,-1.75,-1.94,-1.94,-1.94
163.24,-0.20,-0.20,1.74,1.74,-1.75,-1.75,-1.94,-1.94,-1.94
164.88,-0.20,-0.20,1.75,1.75,-1.75,-1.76,-1.95,-1.95,-1.95
166.53,-0.21,-0.21,1.75,1.75,-1.75,-1.77,-1.96,-1.96,-1.95
168.19,-0.21,-0.21,1.75,1.75,-1.75,-1.78,-1.96,-1.96,-1.96
169.87,-0.21,-0.21,1.75,1.75,-1.75,-1.79,-1.97,-1.97,-1.96
171.57,-0.22,-0.22,1.75,1.75,-1.75,-1.80,-1.97,-1.97,-1.97
173.29,-0.22,-0.22,1.76,1.76,-1.76,-1.80,-1.98,-1.98,-1.98
175.02,-0.22,-0.22,1.76,1.76,-1.76,-1.81,-1.98,-1.98,-1.98
176.77,-0.23,-0.23,1.76,1.76,-1.76,-1.82,-1.99,-1.99,-1.99
178.54,-0.23,-0.23,1.77,1.77,-1.77,-1.83,-2.00,-2.00,-2.00
180.32,-0.23,-0.23,1.77,1.77,-1.77,-1.84,-2.00,-2.00,-2.00
182.13,-0.23,-0.23,1.78,1.78,-1.78,-1.84,-2.01,-2.01,-2.01
183.95,-0.23,-0.23,1.78,1.78,-1.78,-1.85,-2.02,-2.02,-2.02
185.79,-0.23,-0.23,1.79,1.79,-1.79,-1.86,-2.02,-2.02,-2.02
187.65,-0.23,-0.23,1.80,1.80,-1.80,-1.87,-2.03,-2.03,-2.03
189.52,-0.23,-0.23,1.80,1.80,-1.80,-1.87,-2.03,-2.03,-2.03
191.42,-0.23,-0.23,1.81,1.81,-1.81,-1.88,-2.04,-2.04,-2.04
193.33,-0.22,-0.22,1.82,1.82,-1.82,-1.89,-2.04,-2.04,-2.04
195.27,-0.22,-0.22,1.83,1.83,-1.83,-1.90,-2.05,-2.05,-2.05
197.22,-0.22,-0.22,1.84,1.84,-1.84,-1.90,-2.05,-2.05,-2.06
199.19,-0.22,-0.22,1.85,1.85,-1.85,-1.91,-2.06,-2.06,-2.06
201.18,-0.21,-0.21,1.85,1.85,-1.86,-1.92,-2.07,-2.07,-2.07
203.19,-0.21,-0.21,1.87,1.87,-1.87,-1.93,-2.08,-2.08,-2.07
205.23,-0.20,-0.20,1.88,1.88,-1.88,-1.93,-2.08,-2.08,-2.08
207.28,-0.20,-0.20,1.89,1.89,-1.89,-1.94,-2.09,-2.09,-2.09
209.35,-0.19,-0.19,1.91,1.91,-1.91,-1.95,-2.10,-2.10,-2.09
211.44,-0.18,-0.18,1.93,1.93,-1.92,-1.95,-2.10,-2.10,-2.10
213.56,-0.17,-0.17,1.94,1.94,-1.94,-1.96,-2.11,-2.11,-2.11
215.69,-0.16,-0.16,1.96,1.96,-1.96,-1.96,-2.12,-2.12,-2.12
217.85,-0.16,-0.16,1.97,1.97,-1.97,-1.97,-2.13,-2.13,-2.13
220.03,-0.16,-0.16,1.99,1.99,-1.98,-1.98,-2.14,-2.14,-2.14
222.23,-0.15,-0.15,2.00,2.00,-2.00,-1.98,-2.15,-2.15,-2.15
224.45,-0.15,-0.15,2.01,2.01,-2.01,-1.99,-2.16,-2.16,-2.16
226.70,-0.15,-0.15,2.02,2.02,-2.02,-2.00,-2.17,-2.17,-2.17
228.96,-0.15,-0.15,2.03,2.03,-2.03,-2.00,-2.18,-2.18,-2.18
231.25,-0.15,-0.15,2.04,2.04,-2.04,-2.01,-2.19,-2.19,-2.19
233.57,-0.15,-0.15,2.04,2.04,-2.04,-2.01,-2.20,-2.20,-2.20
235.90,-0.15,-0.15,2.05,2.05,-2.05,-2.02,-2.20,-2.21,-2.20
238.26,-0.15,-0.15,2.06,2.06,-2.06,-2.02,-2.21,-2.21,-2.21
240.64,-0.15,-0.15,2.07,2.07,-2.07,-2.03,-2.22,-2.22,-2.22
243.05,-0.15,-0.15,2.08,2.08,-2.08,-2.03,-2.23,-2.23,-2.23
245.48,-0.15,-0.15,2.08,2.09,-2.09,-2.04,-2.24,-2.24,-2.24
247.93,-0.15,-0.15,2.09,2.09,-2.09,-2.04,-2.25,-2.25,-2.25
250.41,-0.15,-0.15,2.10,2.10,-2.10,-2.05,-2.25,-2.25,-2.25
252.92,-0.15,-0.15,2.11,2.11,-2.10,-2.05,-2.26,-2.26,-2.26
255.45,-0.15,-0.15,2.11,2.11,-2.11,-2.06,-2.26,-2.26,-2.26
258.00,-0.15,-0.15,2.11,2.11,-2.11,-2.06,-2.26,-2.26,-2.26
260.58,-0.15,-0.15,2.11,2.12,-2.12,-2.07,-2.27,-2.27,-2.27
263.19,-0.15,-0.15,2.12,2.12,-2.12,-2.07,-2.27,-2.27,-2.27
265.82,-0.15,-0.15,2.12,2.12,-2.12,-2.07,-2.27,-2.27,-2.27
268.48,-0.15,-0.15,2.12,2.12,-2.12,-2.08,-2.28,-2.28,-2.28
271.16,-0.16,-0.16,2.12,2.12,-2.12,-2.08,-2.28,-2.28,-2.28
273.87,-0.16,-0.16,2.13,2.13,-2.13,-2.09,-2.28,-2.28,-2.28
276.61,-0.16,-0.16,2.13,2.13,-2.13,-2.09,-2.29,-2.29,-2.29
279.38,-0.16,-0.16,2.13,2.13,-2.14,-2.09,-2.29,-2.29,-2.29
282.17,-0.16,-0.16,2.14,2.14,-2.14,-2.10,-2.30,-2.30,-2.29
284.99,-0.15,-0.15,2.15,2.15,-2.15,-2.10,-2.30,-2.30,-2.30
287.84,-0.14,-0.14,2.16,2.16,-2.16,-2.10,-2.30,-2.30,-2.30
290.72,-0.13,-0.13,2.17,2.17,-2.17,-2.11,-2.30,-2.30,-2.30
