frequency,Rtings.com,Harman IEM,SenseLab Aizu,SoundGuys.com Studio Curve,SoundGuys.com Headphone Preference Curve,Type 5128 Diffuse Field Response
69.307295,3.202585262,5.590820842,2.628037341,-0.05178851845,3.13741122,-2.104939427
69.809901,3.178574406,5.560842009,2.60692298,-0.05178851845,3.110445406,-2.106256126
70.316153,3.154469336,5.530066599,2.585977491,-0.05178851845,3.083510019,-2.107228583
70.826075,3.129400423,5.497984283,2.565099601,-0.05178851845,3.056435955,-2.107726183
71.339695,3.104381722,5.461801512,2.544183459,-0.05178851845,3.029964288,-2.107763173
71.85704,3.079370444,5.421664537,2.523118501,-0.05178851845,3.004193523,-2.107763173
72.378137,3.054262116,5.379585731,2.501789301,-0.05178851845,2.980059629,-2.107763173
72.903013,3.028191704,5.334866927,2.480075425,-0.05178851845,2.958707218,-2.107763173
73.431695,3.002179869,5.286286489,2.457851271,-0.05178851845,2.937109502,-2.107763173
73.964211,2.976068907,5.23474845,2.435031309,-0.05178851845,2.913767695,-2.107763173
74.500588,2.948997162,5.18093772,2.411689714,-0.05178851845,2.889040821,-2.107763173
75.040856,2.921984831,5.128582799,2.387940445,-0.05178851845,2.86316711,-2.107765165
75.585041,2.894871158,5.081660103,2.363902694,-0.05178851845,2.834256259,-2.108141862
76.133173,2.866798125,5.037522818,2.33970105,-0.05178851845,2.798082469,-2.109071256
76.685279,2.838785302,4.995621763,2.315465662,-0.05178851845,2.76465995,-2.110405537
77.24139,2.81066896,4.955250614,2.291332409,-0.05178851845,2.738976716,-2.11199011
77.801533,2.781602909,4.913878797,2.267442104,-0.05178851845,2.715770145,-2.113663385
78.365738,2.752475808,4.871834116,2.243767668,-0.05178851845,2.69353086,-2.115256568
78.934035,2.722508325,4.829192392,2.220189385,-0.05178851845,2.673005899,-2.116593434
79.506453,2.693439975,4.785986235,2.196652868,-0.05178851845,2.654511395,-2.117490102
80.083022,2.663372806,4.741858184,2.173101247,-0.05178851845,2.636608825,-2.117763173
80.663773,2.633251004,4.69626982,2.14947508,-0.05178851845,2.61920445,-2.117763173
